"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"94",70353456,"Sofas & armchairs",225,TRUE,"Yes",NA,NA,NA
"95",29290056,"Sofas & armchairs",3140,TRUE,"Yes",97,95,160
"96",79135751,"Sofas & armchairs",1295,TRUE,"Yes",99,83,99
"97",69192657,"Sofas & armchairs",2595,TRUE,"Yes",106,88,218
"98",60447677,"Tables & desks",245,TRUE,"No",40,67,40
"99",19217518,"Outdoor furniture",984,TRUE,"No",NA,NA,NA
"100",70340765,"Tables & desks",995,TRUE,"No",NA,75,90
"101",79161575,"Chairs",1535,TRUE,"No",NA,NA,78
"102",165213,"Chairs",225,TRUE,"No",48,79,45
"103",60366789,"Chests of drawers & drawer units",595,TRUE,"No",50,104,82
"104",10135659,"Chairs",25,TRUE,"No",NA,NA,40
"105",79320744,"Tables & desks",1245,TRUE,"No",35,176,150
"106",30178884,"Chairs",99,TRUE,"No",39,50,43
"107",49214231,"Tables & desks",385,TRUE,"No",NA,74,60
"108",30180504,"Bar furniture",225,TRUE,"No",60,43,74
"109",89297272,"Tables & desks",1266,TRUE,"No",NA,NA,NA
"110",70441769,"Children's furniture",195,TRUE,"No",53,NA,53
"111",29917307,"Tables & desks",1725,TRUE,"No",NA,74,87
"112",80430204,"Bookcases & shelving units",25,TRUE,"No",NA,140,60
"113",50373709,"Bookcases & shelving units",79,TRUE,"Yes",35,35,35
"114",99262168,"Outdoor furniture",2576,TRUE,"Yes",80,84,223
"115",19216689,"Outdoor furniture",2115,TRUE,"No",NA,NA,NA
"116",50370353,"Cabinets & cupboards",29,TRUE,"No",18,NA,NA
"117",79331870,"Wardrobes",4230,TRUE,"No",NA,236,160
"118",20228709,"Beds",220,TRUE,"Yes",28,111,146
"119",79241940,"Tables & desks",1385,TRUE,"No",NA,104,74
"120",69161203,"Tables & desks",1215,TRUE,"No",NA,75,78
"121",80251358,"Tables & desks",225,TRUE,"Yes",NA,NA,60
"122",9300650,"Bookcases & shelving units",2635,TRUE,"Yes",42,193,300
"123",50295306,"Bookcases & shelving units",150,TRUE,"Yes",40,NA,180
"124",428974,"Chairs",145,TRUE,"No",29,45,45
"125",248567,"Beds",695,TRUE,"No",NA,85,67
"126",10308787,"Wardrobes",895,TRUE,"No",61,202,79
"127",60414257,"Bookcases & shelving units",75,TRUE,"No",NA,26,60
"128",20382324,"Outdoor furniture",29,TRUE,"No",NA,NA,35
"129",59094412,"Wardrobes",2580,TRUE,"No",60,236,150
"130",20163802,"Chairs",745,TRUE,"No",50,77,49
"131",99902661,"Bookcases & shelving units",609,TRUE,"No",36,NA,202
"132",50263838,"Bookcases & shelving units",145,TRUE,"Yes",28,202,40
