"category","price","sellable_online","other_colors","depth","height","width"
"Beds",1,"TRUE","Yes",164,102,387
"Cabinets & cupboards",0,"TRUE","Yes",38,38,60
"Children's furniture",0,"TRUE","No",45,77,41
"Cabinets & cupboards",0,"TRUE","Yes",47,89,81
"Tables & desks",0,"TRUE","No",48.5,74,87
"Tables & desks",0,"TRUE","No",40,53,45
"Room dividers",0,"TRUE","Yes",39,78,45
"Tables & desks",1,"TRUE","No",48.5,74,100
"Tables & desks",1,"TRUE","Yes",48.5,73,140
"Tables & desks",0,"TRUE","No",48.5,74,75
"Bookcases & shelving units",0,"TRUE","No",36,88,55
"Beds",1,"TRUE","Yes",100,87,142
"Cabinets & cupboards",0,"TRUE","Yes",38,38,60
"Sideboards, buffets & console tables",1,"TRUE","No",45,140,120
"Tables & desks",0,"TRUE","No",48.5,85,75
"Chairs",0,"TRUE","No",51.5,72,75
"Cabinets & cupboards",0,"TRUE","No",38,92,25
"Bar furniture",0,"TRUE","Yes",50,100,60
"Wardrobes",1,"TRUE","No",51,236,258
"Tables & desks",0,"TRUE","No",54,93,82
"TV & media furniture",0,"TRUE","No",38,64,60
"Sofas & armchairs",1,"TRUE","Yes",164,102,279
"Wardrobes",1,"TRUE","No",66,236,200
"Beds",1,"TRUE","Yes",113,84,186
"Nursery furniture",0,"TRUE","No",30,87,53
"Tables & desks",0,"TRUE","No",40,74,120
"Chairs",1,"TRUE","No",51.5,78.5,74
"Nursery furniture",0,"TRUE","Yes",30,91,44
"Sofas & armchairs",1,"TRUE","Yes",98,102,275
"Bookcases & shelving units",0,"TRUE","Yes",39,147,112
"Sofas & armchairs",0,"TRUE","Yes",98,51,84
"Sofas & armchairs",1,"TRUE","Yes",98,104,247
"Bookcases & shelving units",0,"TRUE","No",36,84,4
"Bookcases & shelving units",0,"TRUE","Yes",40,192,60
"Cabinets & cupboards",0,"TRUE","No",35,95,130
"Sofas & armchairs",0,"TRUE","No",93,68,18
"Wardrobes",1,"TRUE","No",66,236,150
"Outdoor furniture",0,"TRUE","Yes",50,73,50
"Sofas & armchairs",1,"TRUE","Yes",98,83,211.5
"Tables & desks",1,"TRUE","No",48.5,74,105
"Tables & desks",0,"TRUE","No",42,45,70
"Bookcases & shelving units",0,"TRUE","No",36,18,30
"Cabinets & cupboards",0,"TRUE","Yes",42,38,180
"Beds",1,"TRUE","No",97.5,182,142
"Bookcases & shelving units",1,"TRUE","No",40,110,254
"Bookcases & shelving units",0,"TRUE","No",28,147,9
"Children's furniture",0,"TRUE","No",36,67,39
"Cabinets & cupboards",1,"TRUE","Yes",40,230,300
"Tables & desks",0,"TRUE","No",48.5,45,64
"Chairs",0,"TRUE","No",57,82,57
"Tables & desks",0,"TRUE","No",48.5,75,78
"Tables & desks",1,"TRUE","No",48.5,74,78
"Tables & desks",0,"TRUE","No",73,73,120
"TV & media furniture",0,"FALSE","No",18,50.5,24
"Bookcases & shelving units",0,"TRUE","Yes",28,237,120
"Chairs",0,"TRUE","Yes",75,75,64
"Tables & desks",0,"TRUE","No",48.5,70,72
"Tables & desks",1,"TRUE","No",48.5,74,95
"Outdoor furniture",0,"TRUE","No",56,86,42
"Wardrobes",0,"TRUE","No",55,216,44
"Tables & desks",0,"TRUE","No",48.5,60,40
"Sofas & armchairs",1,"TRUE","No",164,95,90
"Chests of drawers & drawer units",0,"TRUE","No",51,104,50
"Chests of drawers & drawer units",0,"TRUE","Yes",47,76,40
"Bar furniture",0,"TRUE","No",45,91,40
"Tables & desks",0,"TRUE","Yes",48.5,74,60
"Cafe furniture",0,"TRUE","No",40,81.5,40
"Tables & desks",1,"TRUE","No",48.5,75,85
"Wardrobes",1,"TRUE","No",57,241,300
"Trolleys",1,"TRUE","No",79,90,126
"Sofas & armchairs",1,"TRUE","Yes",98,84,346
"Chests of drawers & drawer units",0,"TRUE","Yes",50,128,60
"Chairs",0,"TRUE","No",50,77,49
"Outdoor furniture",0,"TRUE","No",67.5,71,74
"Chairs",0,"TRUE","No",51.5,56,35
"Children's furniture",0,"FALSE","Yes",30,91,44
"Nursery furniture",0,"TRUE","No",30,85,67
"Wardrobes",1,"TRUE","Yes",50,192,150
"Chests of drawers & drawer units",0,"TRUE","Yes",47,54,80
"Bookcases & shelving units",1,"TRUE","Yes",35,210,175
"Cabinets & cupboards",0,"TRUE","No",2,29,45
"Chairs",1,"TRUE","No",51.5,78.5,74
"Bar furniture",0,"FALSE","No",47,101,40
"Tables & desks",0,"TRUE","No",48.5,50,32
"Bookcases & shelving units",0,"TRUE","Yes",28,237,200
"Wardrobes",1,"TRUE","Yes",60,236,150
"TV & media furniture",0,"TRUE","Yes",40,50.5,120
"Cabinets & cupboards",1,"TRUE","No",41,49,180
"Bookcases & shelving units",0,"TRUE","Yes",39,147,147
"Bookcases & shelving units",1,"TRUE","Yes",40,230,240
"Sofas & armchairs",1,"TRUE","No",98,84,80
"Tables & desks",0,"TRUE","Yes",48.5,74,60
"Wardrobes",1,"TRUE","No",56,236,310
"TV & media furniture",0,"TRUE","No",38,10,60
"Bookcases & shelving units",0,"TRUE","Yes",35,72,70
"Bookcases & shelving units",0,"TRUE","Yes",32,147,9
"Cabinets & cupboards",0,"TRUE","Yes",100,100,100
"Bookcases & shelving units",0,"TRUE","No",25,176,66
"Sofas & armchairs",1,"TRUE","Yes",151,66,211.5
"Tables & desks",0,"TRUE","Yes",48.5,74,60
"Bookcases & shelving units",1,"TRUE","No",40,110,170
"Wardrobes",0,"TRUE","No",52,139,80
"Sofas & armchairs",1,"TRUE","Yes",98,104,235
"Nursery furniture",0,"TRUE","No",30,85,67
"Beds",1,"TRUE","Yes",53,21,86
"Chairs",1,"TRUE","Yes",94,97,85
"Bookcases & shelving units",0,"TRUE","Yes",16,147,56
"Tables & desks",0,"TRUE","Yes",48.5,55,83
"Cabinets & cupboards",1,"TRUE","Yes",42,112,180
"Wardrobes",0,"TRUE","Yes",50,192,60
"Cabinets & cupboards",0,"TRUE","Yes",40,64,120
"Bookcases & shelving units",0,"TRUE","No",30,124,89
"Sofas & armchairs",1,"TRUE","Yes",105,83,225
"Outdoor furniture",0,"TRUE","Yes",80,84,63
"Bookcases & shelving units",0,"TRUE","No",38,147,80
"Beds",1,"TRUE","Yes",97.5,84,175
"Bar furniture",0,"TRUE","No",36,84,38
"Outdoor furniture",0,"TRUE","No",67,80,68
"Bookcases & shelving units",0,"TRUE","No",34,10,34
"Chairs",0,"TRUE","Yes",68,78.5,68
"Sofas & armchairs",0,"TRUE","Yes",164,104,328
"TV & media furniture",0,"TRUE","Yes",40,48,120
"Sofas & armchairs",1,"TRUE","Yes",98,94,88
"Beds",0,"TRUE","No",97.5,20,90
"Bookcases & shelving units",0,"TRUE","No",50,179,89
"Bookcases & shelving units",0,"TRUE","No",34,147,80
"Bookcases & shelving units",0,"TRUE","Yes",24,147,13
"Sofas & armchairs",1,"TRUE","Yes",98,69,212
"Beds",0,"TRUE","Yes",97.5,84,148
